heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,1,93,56,100,71,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,5,5,0,0,2,93,56,100,71,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_3_1,4,4,0,1,3,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,1,94,83,100,90,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,2,94,83,100,90,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l1_l2_3_2,19,19,0,3,3,94,83,100,90,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,1,94,80,100,89,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,2,94,80,100,89,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_add_weights_regularisation_mutated0_MP_l2_3_0,16,16,0,3,3,94,80,100,89,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,1,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,2,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_exponential_4_0,12,12,0,3,3,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,1,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,2,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_hard_sigmoid_4_0,7,7,0,1,3,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,1,94,80,100,89,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,16,16,0,2,2,94,80,100,89,98
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_relu_4_2,14,14,0,4,3,94,78,100,88,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,1,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,2,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_selu_4_0,7,7,0,0,3,93,64,100,78,95
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,1,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,12,12,0,3,2,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_sigmoid_4_3,11,11,0,4,3,94,73,100,85,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,1,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,2,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softmax_4_4,12,12,0,2,3,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,1,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,12,12,0,9,2,94,75,100,86,97
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_softsign_4_5,10,10,0,11,3,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,1,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,2,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_activation_function_mutated0_MP_tanh_4_2,10,10,0,4,3,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,1,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,2,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.25_0.25_6_7,10,10,0,4,3,94,71,100,83,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,1,93,69,100,82,96
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,mutants/udacity_change_dropout_rate_mutated0_MP_0.75_0.75_6_0,9,9,0,0,2,93,69,100,82,96
