heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
smoothgrad,avg-grad,mean,ood/xai-track1-fog-10,3,1,2,0,3,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-fog-20,4,2,2,1,1,91,6,40,50,44,49
smoothgrad,avg-grad,mean,ood/xai-track1-fog-20,4,2,2,1,2,91,6,40,50,44,49
smoothgrad,avg-grad,mean,ood/xai-track1-fog-20,5,3,2,0,3,91,6,50,60,55,59
smoothgrad,avg-grad,mean,ood/xai-track1-fog-30,4,1,3,0,1,89,6,25,25,25,25
smoothgrad,avg-grad,mean,ood/xai-track1-fog-30,3,1,2,1,2,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-fog-30,3,3,0,1,3,95,6,50,100,67,91
smoothgrad,avg-grad,mean,ood/xai-track1-fog-40,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-40,3,0,3,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-40,3,0,3,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-50,3,0,3,1,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-50,3,0,3,1,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-50,3,0,3,1,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-60,1,1,0,0,1,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-fog-60,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-60,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-70,2,0,2,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-70,2,0,2,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-70,2,0,2,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-80,1,1,0,0,1,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-fog-80,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-80,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-90,1,1,0,0,1,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-fog-90,1,0,1,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-90,1,0,1,0,3,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-100,4,0,4,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-100,4,0,4,0,2,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-fog-100,4,1,3,0,3,89,6,25,25,25,25
smoothgrad,avg-grad,mean,ood/xai-track1-rain-10,1,1,0,0,1,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-rain-10,1,1,0,0,2,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-rain-10,1,1,0,0,3,94,6,25,100,40,77
smoothgrad,avg-grad,mean,ood/xai-track1-rain-20,3,2,1,0,1,93,6,40,67,50,62
smoothgrad,avg-grad,mean,ood/xai-track1-rain-20,3,1,2,0,2,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-rain-20,3,1,2,0,3,91,6,25,33,29,32
smoothgrad,avg-grad,mean,ood/xai-track1-rain-30,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-30,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-30,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-40,3,0,3,0,1,0,0,0,0,0,0
smoothgrad,avg-grad,mean,ood/xai-track1-rain-40,2,1,1,1,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-40,2,2,0,1,3,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-50,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-50,2,2,0,0,2,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-50,2,2,0,0,3,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-60,2,2,0,0,1,94,6,40,100,57,87
smoothgrad,avg-grad,mean,ood/xai-track1-rain-60,2,1,1,0,2,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-60,2,1,1,0,3,93,6,25,50,33,45
smoothgrad,avg-grad,mean,ood/xai-track1-rain-70,2,2,0,0,1,94,6,40,100,57,87
