heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,precision,recall,f1,f3
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-60,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-70,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-70,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-70,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-80,2,2,0,1,1,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-80,2,2,0,1,2,91,29,100,44,80
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-80,3,3,0,0,3,91,38,100,55,86
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-90,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-90,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-90,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-100,2,1,1,0,1,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-100,2,1,1,0,2,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,mean,ood/xai-track1-snow-100,2,1,1,0,3,89,17,50,25,42
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-10,2,2,0,1,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-10,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-10,3,3,0,0,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-20,4,4,0,1,1,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-20,4,4,0,1,2,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-20,5,5,0,0,3,93,56,100,71,93
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-30,4,4,0,0,1,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-30,3,3,0,1,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-30,3,3,0,1,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-40,3,3,0,0,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-50,3,3,0,1,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,1,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,2,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-60,1,1,0,0,3,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-70,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,1,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,2,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-80,1,1,0,0,3,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,1,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,2,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-90,1,1,0,0,3,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,1,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,2,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-fog-100,4,4,0,0,3,93,50,100,67,91
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-10,1,1,0,0,1,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-10,1,1,0,0,2,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-10,1,1,0,0,3,92,20,100,33,71
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-20,3,3,0,0,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-30,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-40,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-40,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-40,2,2,0,1,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-50,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-60,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-70,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-80,3,3,0,0,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-90,2,2,0,1,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-100,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-100,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-rain-100,2,1,1,0,3,91,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-10,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-10,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-10,2,1,1,1,3,91,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-20,2,2,0,1,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-30,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-30,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-30,2,1,1,0,3,91,20,50,29,43
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-50,3,3,0,0,1,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-50,3,3,0,0,2,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-50,2,2,0,1,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-80,2,2,0,1,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-80,2,2,0,1,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-80,3,3,0,0,3,93,43,100,60,88
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,3,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,1,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,2,93,33,100,50,83
track1-VAE-latent16-heatmaps-smoothgrad,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,3,93,33,100,50,83
