heatmap_type,summarization_method,aggregation_type,simulation_name,failures,detected,undetected,undetectable,ttm,accuracy,fpr,precision,recall,f1,f3
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-40,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-50,3,3,0,0,1,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-50,3,3,0,0,2,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-50,2,0,2,1,3,0,0,0,0,0,0
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-60,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-70,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-80,2,2,0,1,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-80,2,2,0,1,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-80,3,3,0,0,3,94,7,30,100,46,81
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-90,2,2,0,0,3,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,1,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,2,94,7,22,100,36,74
track1-MSE-latent2-selforacle,rec. loss,max,ood/xai-track1-snow-100,2,2,0,0,3,94,7,22,100,36,74
